Apple Inc.
DE 60311231.5
DE 60332175.5
DE 69937462.6
DE 69941964.6
DK 1,135,934February 1, 2014 AVC Attachment 1 Page 24 of 75
DK 1,753,244
DK 1,853,069
ES 1,135,934
ES 1,753,244
ES 1,853,069
FI 1,135,934
FI 1,753,244
FI 1,853,069
FR 1,135,934
FR 1,468,566 
FR 1,468,567
FR 1,753,244
FR 1,853,069
GB 1,135,934
GB 1,468,566 
GB 1,468,567
GB 1,753,244
GB 1,853,069
GR 1,753,244
HK 1,069,700
HK 1,069,701
HK 1,103,199
HK 1115256
IE 1,753,244
IT 1,135,934
IT 1,468,566 
IT 1,468,567
IT 1,753,244
IT 1,853,069
JP 3,964,765
JP 3,964,925
JP 4,102,841
JP 4,159,400
JP 4,199,973
JP 4,448,334
JP 4,489,794
JP 4,503,294
JP 4,522,658
JP 4,558,827
JP 4,560,028
JP 4,560,033
JP 4,610,195
JP 4,625,411
JP 4,662,697
JP 4,690,635
JP 4,700,762
JP 4,703,114
JP 4,733,341
JP 4,918,119
KR 578,432
KR 839,308February 1, 2014 AVC Attachment 1 Page 25 of 75
KR 839,309
KR 839,311
KR 884,134
KR 895,932
KR 925,968
KR 939,855
KR 947,162
KR 958,499
KR 965,703
KR 999,311
LI 1,135,934
LI 1,753,244
LI 1,853,069
MX 250244
NL 1,135,934
NL 1,753,244
NL 1,853,069
PT 1,135,934
PT 1,753,244
PT 1,853,069
RU 2310231
SE 1,135,934
SE 1,753,244
SE 1,853,069
TR 1,753,244
TW I 221,388
TW I310137
US 6,563,953
US 6,735,345
US 6,882,685
US 6,912,584
US 7,024,097
US 7,106,797
US 7,116,830
US 7,120,197
US 7,142,775
US 7,149,247
US 7,155,055
US 7,162,091
US 7,167,633
US 7,171,107
US 7,181,072
US 7,242,437
US 7,248,740
US 7,248,779 
US 7,263,232
US 7,266,149
US 7,271,849
US 7,274,407
US 7,280,700
US 7,286,189February 1, 2014 AVC Attachment 1 Page 26 of 75
US 7,289,673
US 7,379,607
US 7,505,485
US 7,577,305
US 7,593,466
US 7,609,767
US 7,633,551
US 7,646,810
US 7,646,816
US 7,839,895
US 7,839,928
US 7,881,371
US 8,265,148
US 8,269,891
Mitsubishi Electric Corporation
CA 2,554,143
CA 2,632,408
CA 2,685,312
CA 2,686,438
CA 2,686,449
CN 03800516.6
CN 200610099715.2
CN 200610100796.3
CN 200610101834.7
CN 200810086603.2
CN 200910203523.5
CN 200910203525.4
CN 201010129742.6
CN 201010143855.1
HK 1,109,278
HK 1109001
HK 1125523
JP 3,347,954
JP 3,807,342
JP 4,211,780
JP 4,211,873
JP 4,260,786
JP 4,326,758
JP 4,388,771
JP 4,441,182
JP 4,514,734
JP 4,514,818
JP 4,514,819
JP 4,571,173
JP 4,708,263
JP 4,755,242
JP 4,819,865
JP 4,828,629
JP 4,828,630February 1, 2014 AVC Attachment 1 Page 27 of 75
JP 4,875,187
JP 4,963,496
JP 4,963,520
JP 4,963,526
JP 5,138,086
KR 740,381
SG 101,613
SG 147,308
SG 158,846
SG 158847
SG 177,782
SG 186521
SG 187,281
SG 187,282
TW I 222,834
US 5,926,225
US 7,095,344
US 7,388,526
US 7,408,488
US 7,518,537
US 7,859,438
US 7,970,217
US 7,994,951
US 8,188,895
US 8,203,470
US 8,354,946
US Re. 41,729
Nippon Telegraph and Telephone Corporation
JP 2,938,412
JP 3,866,628
US 6,934,331
NTT DOCOMO, INC.
CN 200310100660.9
CN 200310100758.4
CN 200310100762.0
DE 60,307,396
DE 60325979.9
ES 2,321,288
FI 1,543,476
FR 1,543,476
GB 1,408,695
GB 1,543,476
JP 3,491,001
JP 3,513,148
JP 3,534,742
JP 3,679,083
JP 4,391,425February 1, 2014 AVC Attachment 1 Page 28 of 75
JP 4,871,402
KR 583,552
KR 603,175
KR 701,810
SE 1,543,476
TW I 225,360
TW I 232,682
TW I 244,856
US 6,825,782
US 6,850,175
US 6,967,601
US 7,183,951
US 7,190,289
US 7,298,303
US 7,346,216
US 7,596,178
US 7,760,950
US 7,916,959
US 8,036,472
US 8,422,808
Panasonic Corporation6
AT 1,406,451
AT 1,413,139
AT 1,439,713
AT 1,739,972
AT 1,744,562
AT 1,746,841
AT 1,750,451
AT 1,753,246
AT 1,965,590
AT 2,273,794
AT 2131593
AT 382242
AT 413,067
AT E 577,492
AT E 586,625
AT E 590,984
AT-E 566,639
AT-E 602,674
AT-E 602,675
AT-E 602,676
AT-E 602,677
